stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
14111,14111,FINCH STATION,,43.780147,-79.415692
13789,13789,NORTH YORK CTR STATION,,43.767347,-79.412492
13792,13792,YORK MILLS STATION,,43.743248,-79.405991
13793,13793,LAWRENCE STATION,,43.725348,-79.40229
13798,13798,DAVISVILLE STATION,,43.697048,-79.39689
13864,13864,BLOOR STATION,,43.670049,-79.385389
13806,13806,WELLESLEY STATION,,43.664949,-79.383488
13807,13807,COLLEGE STATION,,43.660149,-79.382688
13810,13810,TMU STATION,,43.655949,-79.380788
13811,13811,QUEEN STATION,,43.652149,-79.379188
13814,13814,KING STATION,,43.648449,-79.377688
13817,13817,ST ANDREW STATION,,43.648249,-79.385088
13820,13820,OSGOODE STATION,,43.651749,-79.386888
13821,13821,ST PATRICK STATION,,43.655249,-79.388388
13824,13824,QUEEN'S PARK STATION,,43.660549,-79.390689
13825,13825,MUSEUM STATION,,43.667249,-79.393389
13853,13853,SPADINA STATION,,43.670249,-79.405189
13828,13828,DUPONT STATION,,43.674949,-79.40709
13829,13829,ST CLAIR WEST STATION,,43.685148,-79.41589
13833,13833,GLENCAIRN STATION,,43.709148,-79.440892
13836,13836,LAWRENCE WEST STATION,,43.715784,-79.444038
13837,13837,YORKDALE STATION,,43.725248,-79.447692
13840,13840,WILSON STATION,,43.735048,-79.450192
14945,14945,SHEPPARD WEST STATION,,43.750204,-79.462781
13816,13816,UNION STATION,,43.645849,-79.379688
13804,13804,ROSEDALE STATION,,43.677249,-79.388589
13801,13801,SUMMERHILL STATION,,43.683349,-79.391189
13800,13800,ST CLAIR STATION,,43.688649,-79.393489
13796,13796,EGLINTON STATION,,43.706548,-79.39839
13859,13859,SHEPPARD-YONGE STATION,,43.761648,-79.410891
13785,13785,KIPLING STATION,,43.637648,-79.535694
13781,13781,ROYAL YORK STATION,,43.648548,-79.508693
13780,13780,OLD MILL STATION,,43.649448,-79.493392
13776,13776,RUNNYMEDE STATION,,43.652049,-79.474992
13772,13772,KEELE STATION,,43.655649,-79.458691
13769,13769,DUNDAS WEST STATION,,43.657449,-79.451091
13768,13768,LANSDOWNE STATION,,43.659246,-79.442463
13765,13765,DUFFERIN STATION,,43.660849,-79.43389
13764,13764,OSSINGTON STATION,,43.662349,-79.42609
13760,13760,BATHURST STATION,,43.665949,-79.410589
13856,13856,ST GEORGE STATION,,43.668549,-79.397989
13757,13757,BAY STATION,,43.670149,-79.390089
13753,13753,SHERBOURNE STATION,,43.672103,-79.376162
13752,13752,CASTLE FRANK STATION,,43.674049,-79.368088
13749,13749,BROADVIEW STATION,,43.677049,-79.358088
13748,13748,CHESTER STATION,,43.678241,-79.352502
13746,13746,PAPE STATION,,43.679949,-79.344087
13743,13743,DONLANDS STATION,,43.681149,-79.337487
13739,13739,COXWELL STATION,,43.684549,-79.321986
13738,13738,WOODBINE STATION,,43.686649,-79.312286
13735,13735,MAIN STREET STATION,,43.689249,-79.300686
13734,13734,VICTORIA PARK STATION,,43.695149,-79.287885
13732,13732,WARDEN STATION,,43.712149,-79.278785
13741,13741,GREENWOOD STATION,,43.682849,-79.329987
13762,13762,CHRISTIE STATION,,43.664149,-79.41899
13774,13774,HIGH PARK STATION,,43.653549,-79.468691
13778,13778,JANE STATION,,43.649749,-79.484592
13783,13783,ISLINGTON STATION,,43.645248,-79.524994
13844,13844,BAYVIEW STATION,,43.766872,-79.386703
13848,13848,LESLIE STATION,,43.771348,-79.36499
14949,14949,DON MILLS STATION,,43.775547,-79.346584
13846,13846,BESSARION STATION,,43.769296,-79.376345
15657,15657,PIONEER VILLAGE STATIO,,43.77675,-79.509372
15666,15666,YORK UNIVERSITY STATIO,,43.774097,-79.499888
15659,15659,FINCH WEST STATION,,43.764855,-79.491118
15664,15664,DOWNSVIEW PARK STATION,,43.753311,-79.478693
15661,15661,HIGHWAY 407 STATION,,43.783359,-79.523454
15662,15662,VMC STATION,,43.794021,-79.527906
14947,14947,KENNEDY STATION,,43.732487,-79.263718
16069,16069,CEDARVALE YU STATION,,43.69893,-79.435639


